version,change
Версия 1.3.4,Добавена номенклaтура CL095
Версия 1.3.4,Добавена номенклaтура CL096
Версия 1.3.4,"Добавена обратно колона ""NHIF Package"" в номенклатура CL022 (стойности само за дейности, заплащани от НЗОК)"
Версия 1.3.4,"Добавен нов ред ""01-000-0B"" в номенклатура CL024"
Версия 1.3.4,"Попълнена колона ""CL028 Mapping"" за редове ""01-000-07"", ""01-000-08"", ""01-000-09"", ""01-000-0A"", ""01-005-00"", ""01-006-00"", ""01-007-00"", ""01-00C-00"", ""01-00E-00"", ""01-00F-00"", ""01-011-00"", ""01-012-00"", ""01-015-00"", ""01-013-00"", ""02-005-00"", ""02-007-00"", ""02-023-00"", ""02-026-00"", ""02-028-00"", ""03-000-00"", ""03-009-00"", ""03-01E-00"", ""03-01F-00"", ""03-020-00"", ""03-022-00"", ""03-023-00"", ""03-024-00"", ""03-025-00"", ""03-026-00"", ""04-000-00"", ""08-00A-00"", ""08-00B-00"", ""08-00C-00"", ""08-00D-00"", ""08-00E-00"", ""08-00F-00"", ""08-010-00"", ""08-012-00"", ""08-013-00"", ""08-014-00"", ""08-015-00"", ""08-016-00"", ""09-007-00"", ""09-008-00"", ""09-009-00"", ""09-00A-00"", ""09-00B-00"", ""09-00C-00"", ""09-00D-00"", ""0A-01A-00"", ""0B-04A-00"" в номенклатура CL024"
Версия 1.3.4,"Попълнена колона ""CL032 Mapping"" за редове ""01-000-07"", ""01-000-08"", ""01-000-09"", ""01-000-0A"", ""01-005-00"", ""01-006-00"", ""01-007-00"", ""01-00C-00"", ""01-00E-00"", ""01-00F-00"", ""01-011-00"", ""01-012-00"", ""01-015-00"", ""01-013-00"", ""02-005-00"", ""02-007-00"", ""02-023-00"", ""02-026-00"", ""02-028-00"", ""03-000-00"", ""03-009-00"", ""03-01E-00"", ""03-01F-00"", ""03-020-00"", ""03-022-00"", ""03-023-00"", ""03-024-00"", ""03-025-00"", ""03-026-00"", ""04-000-00"", ""08-00A-00"", ""08-00B-00"", ""08-00C-00"", ""08-00D-00"", ""08-00E-00"", ""08-00F-00"", ""08-010-00"", ""08-012-00"", ""08-013-00"", ""08-014-00"", ""08-015-00"", ""08-016-00"", ""09-007-00"", ""09-008-00"", ""09-009-00"", ""09-00A-00"", ""09-00B-00"", ""09-00C-00"", ""09-00D-00"", ""0A-01A-00"", ""0B-04A-00"" в номенклатура CL024"
Версия 1.3.4,"Попълнена колона ""UCUM"" за редове ""01-000-07"", ""01-000-08"", ""01-000-09"", ""01-000-0A"", ""01-005-00"", ""01-006-00"", ""01-007-00"", ""01-00C-00"", ""01-00E-00"", ""01-00F-00"", ""01-011-00"", ""01-012-00"", ""01-015-00"", ""02-005-00"", ""02-007-00"", ""02-015-00"", ""02-016-00"", ""02-017-00"", ""02-018-00"", ""02-019-00"", ""02-01A-00"", ""02-01B-00"", ""02-023-00"", ""02-026-00"", ""02-028-00"", ""03-000-00"", ""03-009-00"", ""03-01E-00"", ""03-01F-00"", ""03-020-00"", ""03-022-00"", ""03-023-00"", ""03-024-00"", ""03-025-00"", ""03-026-00"", ""04-000-00"", ""08-00A-00"", ""08-00B-00"", ""08-00C-00"", ""08-00D-00"", ""08-00E-00"", ""08-00F-00"", ""08-010-00"", ""08-012-00"", ""08-013-00"", ""08-014-00"", ""08-015-00"", ""08-016-00"", ""09-007-00"", ""09-008-00"", ""09-009-00"", ""09-00A-00"", ""09-00B-00"", ""09-00C-00"", ""09-00D-00"", ""0A-01A-00"", ""0B-04A-00"" в номенклатура CL024"
Версия 1.3.4,"Коригирана колона ""Description"" за редове ""01-001-01"", ""02-00C-00"", ""02-00D-00"", ""02-015-00"", ""02-016-00"", ""02-017-00"", ""02-018-00"", ""02-019-00"", ""02-01A-00"", ""02-01B-00"", ""02-023-00"", ""09-00B-00"", ""03-014-00"" в номенклатура CL024"
Версия 1.3.4,"Добавен нов ред ""01-010-01"" в номенклатура CL024"
Версия 1.3.4,"Коригирана колона ""Description"" за редове ""02-00D"", ""02-015"", ""02-016"", ""02-017"", ""02-018"", ""02-019"", ""02-01A"", ""02-01B"", ""02-023"", ""09-00B"", ""03-014"" в номенклатура CL022"
Версия 1.3.4,"Коригирана колона ""CL028 Mapping"" за редове ""02-010-00"" в номенклатура CL024"
Версия 1.3.4,"Коригирана колона ""CL032 Mapping"" за редове ""02-010-00"" в номенклатура CL024"
Версия 1.3.4,"Коригирана колона ""UCUM"" за редове ""02-010-00"", ""08-001-00"", ""03-024-00"", ""03-025-00"", ""03-009-00"" в номенклатура CL024"
Версия 1.3.4,"Добавен нов ред ""03-023-01"" в номенклатура CL024"
Версия 1.3.4,"Добавен нов ред ""08-018"" в номенклатура CL022"
Версия 1.3.4,"Добавен нов ред ""08-018-00"" в номенклатура CL024"
Версия 1.3.4,"Попълнени стойности в колони ""NHIF Code"" и ""NHIF Package"" за редове ""00-00E"", ""09-00C"", ""06-013"", ""06-011"", ""0F-112"", ""0F-113"", ""0F-114"", ""0F-115"", ""0F-116"", ""0F-117"", ""0F-118"", ""0F-119"", ""0F-11A"", ""0F-11B"", ""0F-11C"" в номенклатура CL022"
Версия 1.3.4,"Допълнена колона ""NHIF Code"" за редове ""0F-120"", ""0F-11D"" в номенклатура CL022"
Версия 1.3.4,"Допълнена колона ""NHIF Package"" за редове ""04-010"" в номенклатура CL022"
Версия 1.3.4,"Добавен нов ред ""0F-11E"" в номенклатура CL022"
Версия 1.3.4,"Добавен нов ред ""0F-121"" в номенклатура CL022"
Версия 1.3.4,"Допълнена колона ""CL022 Mapping"" за редове ""0F-11D-00"", ""0F-120-00"" в номенклатура CL024"
Версия 1.3.4,"Добавен нов ред ""R8"" в номенклатура CL014"
