version,change,regarding vaccines
Версия 1.5.0,"Добавен нов код ""8"" в номенклатура CL069",false
Версия 1.5.0,"Добавен нов код ""4"" в номенклатура CL028",false
Версия 1.5.0,"Добавен нов код ""5"" в номенклатура CL028",false
Версия 1.5.0,"Добавен нов код ""58717"" в номенклатура CL114",false
Версия 1.5.0,Реконструирана номенклатура CL050,false
Версия 1.5.0,Реконструирана номенклатура CL088,false
Версия 1.5.0,Създадена номенклатура CL126,false
Версия 1.5.0,Създадена номенклатура CL127,false
Версия 1.5.0,Създадена номенклатура CL128,false
Версия 1.5.0,Създадена номенклатура CL130,false
Версия 1.5.0,Създадена номенклатура CL131,false
Версия 1.5.0,Създадена номенклатура CL132,false
Версия 1.5.0,Създадена номенклатура CL133,false
Версия 1.5.0,Създадена номенклатура CL134,false
Версия 1.5.0,Създадена номенклатура CL136,false
Версия 1.5.0,Създадена номенклатура CL137,false
Версия 1.5.0,Създадена номенклатура CL138,false
Версия 1.5.0,Създадена номенклатура CL139,false
Версия 1.5.0,"Коригирано наименование на поле в колона ""Е"" ред 9 от номенклатура CL088",false
Версия 1.5.0,Създадена номенклатура CL140,false
Версия 1.5.0,"Деактивиране на следните кодове в CL037: 1234, 4084, 16291, 16744, 2683, 16962, 16058, 1754, 3339, 61121, 57335 считано от 17.04.2024",true
Версия 1.5.0,"Актуализиране на записи с Key: 16, 17, 18, 23, 24, 25, 26, 27, 28, 29, 30, 31, 48, 49, 51, 00 на колона F в номенклатура CL038",true
