key,EMA link
-1000,https://www.ema.europa.eu/en/medicines/human/EPAR/comirnaty
-1001,https://www.ema.europa.eu/en/medicines/human/EPAR/spikevax
-1002,https://www.ema.europa.eu/en/medicines/human/EPAR/vaxzevria
-1003,https://www.ema.europa.eu/en/medicines/human/EPAR/jcovden
-1004,https://www.ema.europa.eu/en/medicines/human/EPAR/covid-19-vaccine-inactivated-adjuvanted-valneva
-1005,https://www.ema.europa.eu/en/medicines/human/EPAR/comirnaty
-1006,https://www.ema.europa.eu/en/medicines/human/EPAR/vidprevtyn-beta
99999,
17,
15138,
16058,https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa
1754,https://www.ema.europa.eu/en/medicines/human/EPAR/infanrix-hexa
3537,https://www.ema.europa.eu/en/medicines/human/EPAR/hexacima
3339,
1542,
1541,
15420,
61121,
127,
16962,
64,
1344,
2998,
1730,
2517,https://www.ema.europa.eu/en/medicines/human/EPAR/m-m-rvaxpro
1234,
4084,
4184,
2958,https://www.ema.europa.eu/en/medicines/human/EPAR/synflorix
16291,https://www.ema.europa.eu/en/medicines/human/EPAR/synflorix
1653,https://www.ema.europa.eu/en/medicines/human/EPAR/prevenar-13
16979,https://www.ema.europa.eu/en/medicines/human/EPAR/prevenar-13
16651,
4133,
129,https://www.ema.europa.eu/en/medicines/human/EPAR/twinrix-adult
1925,
7401,
16568,
15497,
16744,
16146,
17327,https://www.ema.europa.eu/en/medicines/human/EPAR/fluenz-tetra
66739,
66737,
2683,https://www.ema.europa.eu/en/medicines/human/EPAR/cervarix
16074,https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil
48571,https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil-9
4144,
2565,https://www.ema.europa.eu/en/medicines/human/EPAR/rotateq
17091,https://www.ema.europa.eu/en/medicines/human/EPAR/rotarix
3932,https://www.ema.europa.eu/en/medicines/human/EPAR/rotarix
15358,
8556,https://www.ema.europa.eu/en/medicines/human/EPAR/nimenrix
16887,
15210,
57335,https://www.ema.europa.eu/en/medicines/human/EPAR/vaxneuvance
58090,https://www.ema.europa.eu/en/medicines/human/EPAR/prevenar-20
64095,https://www.ema.europa.eu/en/medicines/human/EPAR/abrysvo
64907,https://www.ema.europa.eu/en/medicines/human/EPAR/fluenz-0
46255,https://www.ema.europa.eu/en/medicines/human/EPAR/bexsero
